#I, J,  Distance,  diameter
2741,7946,7.1969,1.4291
6,111,18.405,3.7854
992,3755,11.422,1.9977
992,9571,8.4039,1.1117
992,5127,9.9321,2.2574
6,1025,10.856,2.0425
1951,5127,14.108,1.3666
729,7817,11.419,1.7716
1254,1791,13.735,2.7711
8220,8675,6.3271,1.0137
178,912,9.7143,1.8092
3779,5010,11.942,1.6956
3779,7066,12.933,1.6168
1708,8053,12.291,1.6173
8053,9129,6.8445,1.7029
4285,7066,17.09,1.6666
1137,5429,9.0516,2.2575
309,669,15.549,1.6534
2144,3752,11.158,2.0012
6492,8344,12.109,1.1991
1066,3752,12.663,2.4679
6071,8217,6.12,1.2968
7065,8217,7.4358,1.2509
383,4815,10.886,2.4214
383,4618,9.3341,1.9176
2493,3155,7.9961,2.0593
1754,4618,15.534,0.83951
5926,8328,8.8017,1.2688
4481,5710,6.1155,1.7685
4655,7076,8.4018,1.6182
283,7073,11.606,1.6915
2688,2862,10.004,1.9821
7978,9463,4.17,1.3189
133,4115,11.183,1.6073
5415,8543,9.8636,1.4681
8023,8543,13.129,1.6814
2083,5323,14.307,1.785
819,8963,7.5245,1.2263
1024,2379,9.2537,1.8987
479,3198,14.92,1.7825
2531,4838,11.363,1.6953
4838,4907,11.607,1.9761
481,4425,14.087,1.8052
662,1280,10.618,3.1009
57,825,12.073,2.4787
1513,6455,7.5187,2.3182
2824,6455,9.4345,1.4447
851,1505,18.46,2.6088
2265,6962,10.036,2.01
4166,7826,10.544,1.2887
6786,6819,8.3143,1.5849
4330,9409,7.4862,0.95086
2149,2928,19.757,1.5194
2061,9570,11.167,0.87326
6439,6824,12.52,1.0788
110,5817,10.93,2.2685
2691,5430,8.5311,1.2942
1921,4423,9.1026,1.3099
4,5918,13.677,2.0857
815,6821,10.393,1.9541
3631,3831,7.2454,2.3663
3831,5391,13.266,1.4752
4116,9261,8.4503,0.27152
6,13,13.811,3.3059
1,5962,15.346,1.8941
158,7934,14.875,1.6929
1708,9129,8.1627,1.0221
1437,1837,10.207,2.7047
537,2214,11.157,2.6084
1837,2094,9.6234,1.7572
178,970,17.33,2.0029
1139,2094,7.5937,1.8822
285,726,15.19,2.2973
5274,8344,7.8014,1.6439
4176,7213,9.6977,1.2285
8344,9573,5.4863,1.0807
9573,9652,4.4369,0.94432
3155,4161,6.1173,2.1319
5636,7913,5.8954,1.4113
2864,4829,17.63,1.5933
2913,6754,7.5546,1.8651
1662,4053,10.546,2.0425
6023,8518,7.745,1.6699
610,9463,7.7916,1.0228
1892,5323,15.261,1.9303
874,2688,5.8432,2.3995
4495,7371,12.592,1.7575
7371,8630,8.4929,1.0528
278,1751,13.291,1.8211
278,3751,11.698,2.0845
57,310,21.18,2.3465
2531,7208,9.4063,1.4562
7208,9021,5.0063,1.6994
249,340,10.666,2.2805
4301,5409,12.669,1.6899
3588,5419,18.161,1.1566
2069,5817,9.8567,1.7094
4728,6124,6.1717,1.8819
5582,6439,7.5204,1.1926
1646,7508,14.217,1.6378
3554,4000,6.4056,1.769
6045,7946,7.4049,1.1688
