#ID, Diameter,  Xcor,  Ycor,  Zcor
277,4.5463,214.21,65.896,190.87
278,4.4743,106.98,1.9527,157.41
279,4.4538,74.852,55.51,76.215
280,4.406,73.709,145.94,74.191
281,4.4557,154.7,29.89,124.07
282,4.5282,128.2,8.3641,1.8905
283,4.3088,91.417,0.13625,20.555
284,4.4088,82.506,49.967,186.27
285,4.4783,30.906,5.9768,184.33
286,4.4486,195.35,158.46,97.117
287,4.5146,8.0474,13.534,20.98
288,4.4649,104.03,19.285,168.6
289,4.4934,161.49,180.16,69.006
290,4.4141,25.007,40.172,88.655
291,4.4542,190.41,180.23,211.79
292,4.336,70.136,124.91,103.7
293,4.3997,188.99,108.59,205.41
294,4.3611,192.2,93.637,67.152
295,4.3877,2.3165,29.64,210.77
296,4.346,180.01,21.621,72.916
297,4.4102,197.18,36.636,95.046
298,4.3688,105.32,13.455,120.25
299,4.4469,25.48,100.04,105.88
300,4.4923,127.18,163.59,209.04
301,4.3335,16.213,107.78,51.412
302,4.3961,104.25,32.516,212.75
303,4.4362,110.96,185.41,141.78
304,4.3599,36.605,110.26,199.59
305,4.4218,62.768,135.49,127.39
306,4.35,23.333,171.79,10.252
307,4.3907,147.84,194.09,103.64
308,4.4265,152.54,29.303,114.91
309,4.446,19.527,0.31313,181.37
310,4.3414,124.1,0.13625,182.66
311,4.4249,203.42,89.421,159.49
312,4.4367,208.55,84.966,148.58
313,4.4924,16.865,140.29,141.25
314,4.4443,53.766,152.57,139.08
315,4.3128,39.602,46.484,77.799
316,4.5153,12.073,17.437,26.229
317,4.4365,12.875,148.37,157.82
318,4.5429,76.842,163.42,214.5
319,4.4225,171.63,168.03,160.96
320,4.4301,123.06,13.71,160.54
321,4.3611,78.655,162.06,175.38
322,4.2949,187.6,127.13,108.82
323,4.4135,166.91,36.152,206.32
324,4.3605,180.55,16.14,90.895
325,4.2905,35.016,82.122,104.21
326,4.5357,208.19,52.644,186.86
327,4.3399,197.36,194.13,190.56
328,4.4001,99.003,33.207,4.1894
329,4.4717,116.61,15.384,17.947
330,4.4041,62.149,122.49,132.58
331,4.416,95.612,38.065,65.757
332,4.4049,36.595,46.834,68.559
333,4.3039,156.52,169.94,83.022
334,4.3178,166.67,176.66,209.17
335,4.2803,187.35,79.394,86.214
336,4.2699,70.137,114.31,145.96
337,4.3237,196.38,206.47,200.73
338,4.3004,104.5,24.933,200.36
339,4.2779,199.88,138.84,181.95
340,4.3996,142.4,0.88264,107.32
341,4.4914,101.37,19.302,207.71
342,4.3773,32.505,98.065,82.681
343,4.4481,29.024,111.44,203.25
344,4.5152,17.715,98.549,38.153
345,4.5063,101.08,181.72,145.75
346,4.4221,9.1676,81.701,100.8
347,4.3781,201.57,198.54,127.84
348,4.3914,161.07,69.663,97.732
349,4.3607,175.32,120.14,96.849
350,4.3487,211.01,65.9,174.57
351,4.2579,199.33,96.354,72.129
352,4.4244,32.136,93.8,118.72
353,4.2982,38.756,99.348,216.24
354,4.3793,23.129,63.294,30.407
355,4.3937,26.8,11.37,211.7
356,4.3033,111.06,23.34,19.008
357,4.3826,23.583,135.26,178.2
358,4.2791,199.92,178.94,85.193
359,4.4497,178.43,97.264,87.267
360,4.246,113.79,182.41,34.431
361,4.2708,142.4,3.3449,97.162
362,4.3611,202.36,63.355,62.702
363,4.2385,19.772,48.051,111.59
364,4.2564,197.68,142.69,186.56
365,4.2447,211.04,39.085,201.47
366,4.3732,34.017,75.642,109.21
367,4.3883,51.655,128.37,117.64
368,4.4592,114.97,19.636,164.98
369,4.2561,85.198,89.501,15.905
370,4.238,181.38,40.7,189.8
371,4.2912,140.26,187.38,120.83
372,4.4625,96.98,80.902,87.134
373,4.3417,142.18,172.61,175.83
374,4.5551,25.345,96.74,199.47
375,4.4825,84.478,36.24,196.65
376,4.2151,45.146,50.285,8.5609
377,4.3368,181.69,101.42,57.85
378,4.2597,196.61,177.2,197.75
379,4.3624,190.23,210.45,113.18
380,4.2925,208.34,174.76,185.9
381,4.2303,102.34,53.238,84.565
382,4.2695,154.95,205.08,108.25
383,4.3118,57.175,8.5316,209.44
384,4.3756,118.39,38.319,15.257
385,4.4722,4.5014,65.397,210.64
386,4.1771,101.8,206.71,112.7
387,4.1545,92.24,18.122,118.92
388,4.219,191.93,36.683,36.924
389,4.3847,192.02,127.14,100.83
390,4.362,178.72,8.2287,202.1
391,4.2401,31.164,58.396,212.41
392,4.3836,88.56,200.47,44.843
393,4.31,111.62,60.882,89.419
394,4.2651,80.796,159.36,91.969
395,4.3805,146.15,159.82,114.72
396,4.4376,80.796,73.85,129.19
397,4.2957,163.12,115.16,200.06
398,4.1577,154.38,169.63,94.402
399,4.1657,91.941,207.51,129.85
400,4.3887,20.713,40.76,97.366
401,4.3162,66.097,152.24,80.616
402,4.3065,66.143,60.562,80.837
403,4.2442,91.709,85.922,83.837
404,4.4265,209.06,187.39,153.15
405,4.2515,98.739,47.498,86.544
406,4.3287,205.79,139.7,102.26
407,4.3672,38.153,12.937,10.218
408,4.3986,196.96,74.15,183.19
409,4.3679,42.372,84.35,162.68
410,4.3048,199.14,116.72,94.73
411,4.3293,68.224,8.0935,185.8
412,4.4304,172.85,31.335,211.95
413,4.2893,22.813,49.966,10.279
414,4.3948,204.22,170.66,114.45
415,4.2127,191.43,56.051,172.08
416,4.3128,184.39,180.34,132.07
417,4.2994,212.1,171.31,194.62
418,4.2864,21.326,35.887,12.638
419,4.3691,214.85,96.59,185.3
420,4.4127,194.02,1.9783,100.64
421,4.4392,195.35,118.26,86.791
422,4.2787,186.04,53.334,167.46
423,4.3925,30.209,35.011,67.062
424,4.2935,75.009,187.27,74.263
425,4.3844,187.88,67.577,77.205
426,4.3289,55.261,129.11,112.15
427,4.2707,176.16,209.16,119.3
428,4.283,43.172,84.269,203.2
429,4.4151,186.87,176.85,216.18
430,4.3335,197.23,185.49,188.1
431,4.2925,82.139,26.29,40.647
432,4.2625,44.038,43.667,79.729
433,4.408,202.96,96.874,214.73
434,4.206,5.3563,11.604,42.91
435,4.2494,57.297,138.86,99.352
436,4.4287,94.602,24.08,208.73
437,4.2323,152.19,178.59,77.581
438,4.278,197.45,24.066,37.676
439,4.2999,88.678,63.587,113.95
440,4.3866,214.6,123.45,171.86
441,4.2041,164.71,17.059,101.81
442,4.3678,53.266,103.68,215.82
443,4.3868,95.742,15.635,58.04
444,4.1389,148.65,105.58,121.4
445,4.4446,190.1,27.22,100.82
446,4.3182,157.91,216.48,101.39
447,4.1752,216.28,108.59,168
448,4.3889,213.91,192.7,151.92
449,4.386,71.441,60.621,63.49
450,4.2845,23.051,112.41,49.564
451,4.3419,24.25,38.531,68.284
452,4.2848,178.08,105.23,48.425
453,4.2234,21.604,103.68,48.868
454,4.4487,216.27,116.9,171.13
455,4.2109,216.28,106.19,176.99
456,4.409,109.2,81.161,73.572
457,4.2311,13.79,15.424,45.302
458,4.3476,96.468,67.989,125.8
459,4.264,180.55,24.417,200.33
460,4.2473,113.78,25.669,148.68
461,4.3461,90.377,50.143,32.019
462,4.1394,33.381,98.258,129.01
463,4.3591,170.85,174.48,215.94
464,4.415,35.078,125.66,120.71
465,4.3332,196.2,172.91,130.39
466,4.3983,107.97,83.318,92.102
467,4.2775,168.99,164.21,183.78
468,4.2064,104.53,23.788,93.088
469,4.4019,14.93,32.697,17.373
470,4.2811,142.47,76.118,185.95
471,4.3729,81.411,49.592,108.83
472,4.2202,5.5341,31.155,18.097
473,4.3235,181.3,18.463,96.506
474,4.1322,197.7,174.29,107.77
475,4.4516,55.86,83.927,103.74
476,4.1918,191.98,209.11,74.034
477,4.3653,127.37,146.87,183.59
478,4.3374,122.57,1.2065,202.17
479,4.3196,109.56,0.13625,188.5
480,4.3166,161.87,217.03,66.133
481,4.1944,125.42,0.13625,22.967
482,4.3429,144.72,187.55,213.07
483,4.2865,186.67,9.7169,208.56
484,4.1916,155.65,166.33,61.464
485,4.2244,62.003,49.546,88.628
486,4.2379,181.32,49.889,195.25
487,4.1887,207.54,49.916,179.46
488,4.2336,134.18,24.11,148.53
489,4.0994,138.86,154.92,196.92
490,4.2255,212.39,157.73,165.06
491,4.1826,144.01,40.009,93.077
492,4.1951,129.39,175.87,201.79
493,4.3543,205.63,190.73,160.5
494,4.2771,60.318,53.413,43.996
495,4.1454,189.86,188.98,125.79
496,4.2376,102.75,32.292,95.239
497,4.0607,208.57,96.866,61.994
498,4.3321,153.92,51.69,9.8127
499,4.2691,204.56,122.7,87.721
500,4.0656,31.5,103.41,26.556
501,4.352,205.13,129.17,95.148
502,4.2183,12.671,23.844,15.506
503,4.221,185.26,106.08,83.795
504,4.1342,160.64,165.84,103.48
505,4.2405,200.89,172.18,194.17
506,4.1347,103.97,20,104.72
507,4.2329,103.96,13.375,104.21
508,4.1133,175.68,33.918,42.113
509,4.4296,202.44,118.27,56.132
510,4.2354,163.08,74.227,191.59
511,4.2474,181.7,115.6,59.326
512,4.1887,42.465,92.537,182.71
513,4.3078,155.11,149.12,107.12
514,4.3043,13.35,11.256,20.904
515,4.0875,49.965,78.084,110.23
516,4.1059,166.67,162.8,96.84
517,4.1727,16.97,33.954,69.844
518,4.1439,195.46,169.39,93.895
519,4.1782,11.017,60.545,30.656
520,4.0227,26.296,62.545,66.352
521,4.1498,175.61,179.38,202.29
522,4.3184,88.167,71.373,130.28
523,4.2224,139.67,79.259,189.2
524,4.3196,204.52,122.37,22.912
525,4.1492,174.56,162.34,207.78
526,4.3004,215.41,33.218,80.63
527,4.2014,31.252,141.02,123.76
528,4.0471,69.351,181.6,81.887
529,4.0905,106.38,210.24,106.16
530,4.2769,200.96,29.45,41.907
531,4.1109,196.88,31.755,61.228
532,4.2927,113.5,204.42,68.144
533,4.0924,34.486,76.683,1.7401
534,4.2697,99.83,93.541,73.87
535,4.234,195.95,145.11,75.619
536,4.1663,203.88,217.86,113.75
537,4.2201,22.186,0.61924,161.02
538,4.7098,186.5,44.201,186.16
539,4.3642,22.615,109.76,60.764
540,4.3389,64.04,80.385,97.938
541,4.2324,170.04,121.13,105.03
542,4.1125,187.82,118.95,206.72
543,4.0255,114.3,33.913,121.11
544,4.1498,210.44,93.668,195.79
545,4.2377,186.82,111.96,64.269
546,4.2768,118.53,28.689,216.29
547,4.2331,10.218,36.24,19.778
548,4.0187,100.12,27.386,156.01
549,4.0361,112.38,42.373,12.693
550,4.0933,7.2447,141.35,162.55
551,4.2878,168.72,19.484,76.848
552,4.1638,151.82,142.68,110.75
553,4.1628,189.81,116.04,38.308
554,4.1649,79.744,111.93,3.7437
555,4.1454,132.79,25.954,166.36
556,4.2299,53.553,197.97,141.15
557,4.0267,33.677,133.13,150.83
558,4.1763,182.36,118.44,68.204
559,4.0624,199.29,50.254,205.33
560,4.0711,184.11,163.12,98.515
561,4.0866,109.67,43.793,213.5
562,4.1623,97.449,70.257,110.8
563,4.2491,3.1867,40.473,27.52
564,4.2755,182.79,114.72,90.036
565,4.3147,196.25,77.061,82.02
566,4.2366,160.4,142.79,166.91
567,4.1181,38.323,149.77,212.9
568,4.162,31.651,137.47,34.766
569,4.0016,44.281,144.02,112.94
570,4.2364,18.116,17.062,207.37
571,4.1032,183.32,89.516,82.945
572,4.0967,214.57,122.73,138.79
573,4.2719,59.953,196.6,7.0279
574,4.5172,41.695,57.219,212
575,4.0703,31.155,62.266,73.185
576,4.168,177.29,184.71,188.73
577,4.3899,145.83,190.34,92.647
578,4.2405,127.43,25.502,160.5
579,4.0262,33.121,5.5644,2.0516
580,4.2624,108.66,52.479,180.12
581,4.5221,211.74,22.62,108.18
582,4.0069,109.14,112.69,29.284
583,4.1343,7.0314,42.365,34.206
584,4.2333,159.83,21.369,86.658
585,4.1017,101.52,106.45,164.51
586,4.1981,191.22,63.12,82.063
587,4.24,191.14,13.792,113.36
588,4.2302,205.61,172.62,86.107
589,4.2565,4.5474,2.0068,28.61
590,4.0738,41.598,49.974,4.2297
591,4.0571,146.2,99.579,116.18
592,4.2414,96.064,208.29,116.9
593,4.1604,212.59,52.709,48.914
594,4.1237,49.672,142.15,97.996
595,4.1881,185.51,90.055,27.474
596,4.031,19.75,210.5,194.46
597,4.2922,50.099,144.81,124.26
598,4.1643,40.775,58.375,60.683
599,4.0893,66.884,54.614,71.584
600,4.2428,126.71,2.5521,198.27
601,4.1018,70.455,127.95,123.64
602,4.2314,68.667,110.24,207.79
603,4.0754,29.567,9.1808,206.42
604,4.0555,122.78,74.226,86.502
605,4.0918,35.237,79.698,160.4
606,4.1497,146.11,162.86,177.27
607,4.2269,154.73,55.007,25.994
608,4.1933,114.79,10.56,155.94
609,4.1089,162.55,216.43,81.091
610,4.0424,100.92,0.13625,88.426
611,4.0694,112.42,217.86,12.999
612,4.1551,95.511,217.7,89.521
613,4.1339,101.88,217.86,196.58
614,4.124,111.86,214.48,51.941
615,4.2723,160.26,58.596,70.27
616,4.1561,201.69,200.12,95.602
617,4.1611,140.2,162.56,170.58
618,4.0901,149.66,163.04,108.63
619,4.1568,16.417,124.14,116.61
620,4.0248,99.054,42.584,94.429
621,4.0655,122.26,6.1562,20.504
622,4.1833,187.4,171.68,111.04
623,3.9817,30.384,71.259,52.224
624,4.0522,207.53,163.32,200.76
625,4.006,193.12,47.824,83.786
626,4.4129,139.7,211.18,213.85
627,4.0076,101.74,15.628,172.63
628,4.087,172.06,103.51,41.003
629,4.0155,143.23,22.232,94.194
630,4.1263,139.22,23.039,99.08
631,3.9881,159.53,37.47,162.04
632,4.2206,36.743,58.213,22.348
633,4.0223,15.622,155.77,161.73
634,3.982,108.05,187.66,145.38
635,3.9078,15.668,55.998,39.103
636,4.1434,204.5,42.735,186.07
637,4.0612,211.1,169.3,112.42
638,3.9813,7.2214,124.13,14.266
639,4.1214,100.66,57.936,53.108
640,4.0384,73.685,78.298,210.55
641,3.994,53.592,129.3,96.595
642,4.114,211.14,133.98,106.36
643,4.0526,68.875,111.34,102.03
644,4.1012,200.45,174.72,119.99
645,4.1351,206.4,196.22,138.85
646,4.1138,172.17,35.347,33.687
647,4.041,214.91,199.91,56.492
648,4.235,117.42,71.822,48.775
649,4.0245,71.321,9.9458,194.69
650,4.0511,199.67,198.5,81.383
651,4.0213,85.118,132.07,153.55
652,4.132,158.48,191,117.04
653,4.014,23.065,36.148,81.069
654,4.0013,199.59,185.14,196.57
655,4.0295,155.45,212.37,57.412
656,3.9893,209.44,208.87,211.91
657,4.1347,186.74,27.879,106.32
658,4.0593,119.26,214.66,49.723
659,4.1444,146.53,155.92,172.83
660,4.1545,49.219,58.115,5.7492
661,4.0432,63.13,34.784,40.506
662,4.1147,123.29,5.9052,206.52
663,4.0119,121.12,52.144,85.389
664,3.9937,196.61,102.91,205.87
665,4.111,52.422,93.324,101.95
666,4.032,148.37,170.15,174.75
667,3.9958,10.739,136.89,164.46
668,4.0497,125.2,19.716,119.83
669,4.0481,31.21,0.32848,188.44
670,4.2275,50.692,97.131,153.96
671,4.191,8.1777,187.25,4.5311
672,4.1415,47.273,81.795,149.9
673,4.004,56.597,39.955,202.57
674,4.0222,67.416,155.12,75.909
675,4.0903,157.75,151.9,164.42
676,4.1352,114.34,60.051,72.482
677,4.1667,137.42,53.135,201.45
678,4.1802,22.844,37.988,213.09
679,3.9835,161.47,125.99,189.56
680,4.002,194.2,214.36,81.852
681,3.9842,15.431,76.131,95.82
682,4.0838,26.05,57.198,62.81
683,4.1135,27.718,78.271,196.52
684,4.0308,101.84,23.786,112.13
685,4.1068,20.74,107.46,210.83
686,4.5851,185.58,51.78,72.402
687,3.9776,102.62,98.781,144.34
688,4.1108,32.835,93.257,197.26
689,3.9521,71.274,103.94,98.271
690,3.9638,59.023,113.51,204.01
691,4.1358,91.557,51.12,44.041
692,4.0552,186.77,12.986,100.88
693,3.9615,33.686,76.428,152.5
694,3.9801,98.728,197.97,34.222
695,3.9467,19.791,214.03,171.54
696,4.1657,8.2834,36.454,6.2648
697,3.9907,209.46,112.71,145.69
698,3.9466,136.41,70.732,191.95
699,4.1391,52.416,150.97,93.578
700,4.0815,196.65,120.21,202.05
701,4.0255,184.34,183.05,140.25
702,4.0622,11.235,62.318,46.142
703,4.0424,107.74,13.952,168.56
704,3.9821,128.99,170.96,124.7
705,3.9706,25.207,204,23.341
706,4.1386,214.56,120.89,131.61
707,4.239,55.953,53.952,82.837
708,3.9509,75.373,148.1,142.41
709,4.1491,152.68,163.12,97.013
710,4.0824,171,48.989,63.546
711,4.1012,82.405,85.482,90.773
712,3.9788,80.011,44.593,112.98
713,4.1348,130.8,217.11,193.37
714,4.125,189.39,33.394,195.05
715,4.0281,25.424,51.285,81.641
716,4.0333,177.06,163.15,137.15
717,3.8705,3.1345,111.61,90.052
718,4.0154,184.4,32.081,115.08
719,3.9907,213.2,208.37,110.44
720,3.9142,90.079,47.825,108.28
721,3.9221,175.38,156,100.11
722,3.8832,120.58,211.06,112.11
