node, diameter, xcor, ycor, zcor, component, path_density, path_diameter, path_radius, shorest_path_length, path_local_efficiency, path_global_efficiency, degree, strength, triangle, clustering, weighted_clustering, knn, weighted_knn, degree_centrality, closeness_centrality, betweenness, weighted_betweenness,eigenvector_centrality, weighted_eigenvector_centrality
109,  11.29000000,   5.19140000,  53.28600000, 150.69000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  46.67450000,  13.00000000,   0.36111111,   0.17364583,   9.00000000,   8.81371198,   0.00546780,   0.11783234,   0.00458484,   0.00052739,   0.00226031,   0.00004081
110,  11.19400000,  72.51200000, 191.42000000,   7.54890000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  14.00000000,  57.23897000,  20.00000000,   0.21978022,   0.07953445,   8.07142857,   8.16364148,   0.00850547,   0.11496019,   0.01202777,   0.01709219,   0.00057316,   0.00000030
111,  11.19700000,  88.12300000, 160.13000000, 204.60000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  57.89900000,  20.00000000,   0.55555556,   0.32694953,  11.55555556,  12.37916199,   0.00546780,   0.13539525,   0.00369487,   0.00275809,   0.14003172,   0.20949618
112,  11.30900000,  31.64100000, 101.90000000, 102.95000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  13.00000000,  62.88030000,  25.00000000,   0.32051282,   0.14333999,  10.15384615,  10.03297535,   0.00789793,   0.14065972,   0.02744211,   0.00885411,   0.00749013,   0.00023618
113,  11.17000000,  25.62000000,  90.43700000, 118.60000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   9.00000000,  53.48460000,  14.00000000,   0.38888889,   0.19575940,  10.00000000,  10.10749823,   0.00546780,   0.13185933,   0.00339380,   0.00001403,   0.00438069,   0.00012875
114,  11.26500000, 218.67000000,  63.56900000, 214.34000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  47.84140000,  16.00000000,   0.35555556,   0.16908928,   7.90000000,   7.92236431,   0.00607533,   0.11001938,   0.00498746,   0.00114194,   0.00104068,   0.00001379
115,  11.05800000,  10.10800000,  93.65300000, 141.35000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  46.93360000,  13.00000000,   0.28888889,   0.14449512,   7.70000000,   8.14244592,   0.00607533,   0.12624636,   0.01947601,   0.01049463,   0.00252438,   0.00007291
116,  11.27100000,  55.10000000, 151.54000000, 174.78000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  37.38367000,   8.00000000,   0.28571429,   0.13082124,   6.87500000,   6.86413934,   0.00486027,   0.13756791,   0.02203351,   0.02244365,   0.02439183,   0.01009687
117,  11.16200000,  96.81300000, 233.47000000,  54.08100000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,   8.00000000,  35.82310000,  12.00000000,   0.42857143,   0.18626941,   9.37500000,   9.43585564,   0.00486027,   0.11857081,   0.00417544,   0.00175575,   0.00079052,   0.00000271
118,  11.10100000,  71.93100000,  52.37600000, 171.86000000,   1.00000000,   0.00463747,  20.00000000,  11.00000000,   8.35510863,   0.66855194,   0.14391792,  10.00000000,  54.84990000,  15.00000000,   0.33333333,   0.17117314,  10.80000000,  11.02464726,   0.00607533,   0.13310691,   0.01123880,   0.01482234,   0.00989294,   0.00091227
